Episode,Reward,Final Stack,Loss
825,-430,150,133608.15625
826,-90,20,119073.046875
827,-670,10,142982.75
828,-350,990,144847.65625
829,500,520,192318.5
830,-310,510,139760.25
831,260,280,171632.3125
832,-80,270,157667.515625
833,260,280,153009.40625
834,150,160,141522.703125
835,-510,10,137875.375
836,20,1010,163287.453125
837,-670,20,145627.984375
838,-350,330,118425.8671875
839,-340,20,179291.328125
840,-20,990,139860.8125
841,500,520,130223.3515625
842,-510,510,139987.1875
843,260,280,133644.625
844,-530,10,141392.109375
845,-510,990,137316.984375
846,-400,980,185269.828125
847,500,510,103231.46875
848,-750,20,154678.96875
849,510,520,114103.5859375
850,-730,10,148160.59375
851,-510,10,112934.828125
852,-270,990,181415.140625
853,20,1000,157122.78125
854,510,520,163966.53125
855,-490,510,138088.171875
856,510,510,133921.734375
857,510,510,129325.4765625
858,-510,500,156278.578125
859,260,270,150617.6875
860,-20,260,146901.015625
861,-630,10,147086.375
862,-510,990,125893.3671875
863,510,510,147464.4375
864,510,510,191305.109375
865,-20,500,148008.703125
866,-520,10,175337.109375
867,-510,990,112387.0625
868,500,520,177810.703125
869,-510,10,140430.25
870,510,520,132594.46875
871,-20,510,117734.75
872,-490,500,131721.671875
873,260,270,120082.3359375
874,140,160,118085.90625
875,90,100,154235.515625
876,-20,990,134622.0625
877,-20,980,162989.59375
878,-20,970,164104.3125
879,-490,20,143222.25
880,510,520,121270.828125
881,380,390,106739.4765625
882,20,400,104492.375
883,-20,390,136280.171875
884,-180,340,116262.953125
885,180,190,164870.96875
886,-420,20,136279.640625
887,590,600,136355.484375
888,-510,590,119463.0078125
889,300,320,126065.59375
890,170,180,94319.3984375
891,-490,10,124205.578125
892,-1000,10,134971.875
893,510,520,136102.703125
894,-240,510,145962.640625
895,260,280,154005.203125
896,-280,270,143792.5625
897,510,510,165577.984375
898,-280,20,136536.390625
899,-250,990,138786.125
900,-510,980,109882.765625
901,500,510,151886.328125
902,260,280,130040.65625
903,150,160,143418.265625
904,-470,150,133152.03125
905,-510,140,119711.65625
906,80,90,162588.96875
907,-510,990,155059.78125
908,500,520,113756.6171875
909,270,280,142961.3125
910,-310,270,101940.5390625
911,140,160,128123.140625
912,-190,10,123789.484375
913,10,1000,138286.921875
914,510,520,103816.828125
915,-760,10,188239.03125
916,-510,990,145752.796875
917,-510,980,114803.7890625
918,20,990,203307.71875
919,500,520,146698.765625
920,270,280,117099.984375
921,-630,10,118503.4375
922,510,520,109095.09375
923,-510,510,125906.15625
924,-510,500,162485.578125
